enrolled_user,identical_sequences,AUC_F3,AUC_F7,note,diff_F3_minus_F7
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,True,0.8218981481481481,0.7310185185185185,,0.09087962962962959
0A986513-7828-4D53-AA1F-E02D6DF9561B,True,1.0,0.8331018518518518,,0.16689814814814818
136562B6-95B2-483D-88DC-065F28409FD2,True,0.9982291666666666,0.6763908179012346,,0.32183834876543205
1538C99F-BA1E-4EFB-A949-6C7C47701B20,True,1.0,0.7555092592592593,,0.24449074074074073
24E40C4C-A349-4F9F-93AB-01D00FB994AF,True,1.0,0.8347222222222223,,0.16527777777777775
2C32C23E-E30C-498A-8DD2-0EFB9150A02E,True,1.0,0.6875,,0.3125
3600D531-0C55-44A7-AE95-A7A38519464E,True,1.0,0.6939814814814815,,0.30601851851851847
4FC32141-E888-4BFF-8804-12559A491D8C,True,0.9998777777777778,0.8033333333333333,,0.1965444444444444
5119D0F8-FCA8-4184-A4EB-19421A40DE0D,True,1.0,0.7878472222222223,,0.21215277777777775
5152A2DF-FAF3-4BA8-9CA9-E66B32671A53,True,1.0,0.3995,,0.6005
5EF64122-B513-46AE-BCF1-E62AAC285D2C,True,1.0,0.8835648148148149,,0.11643518518518514
61976C24-1C50-4355-9C49-AAE44A7D09F6,True,1.0,0.7949498456790124,,0.2050501543209876
78A91A4E-4A51-4065-BDA7-94755F0BB3BB,True,1.0,0.5991666666666666,,0.4008333333333334
7CE37510-56D0-4120-A1CF-0E23351428D2,True,0.9143666666666667,0.796,,0.11836666666666662
7D9BB102-A612-4E2A-8E22-3159752F55D8,True,1.0,0.7930555555555555,,0.2069444444444445
8023FE1A-D3B0-4E2C-A57A-9321B7FC755F,True,0.9997916666666666,0.7503472222222223,,0.24944444444444436
83CF687B-7CEC-434B-9FE8-00C3D5799BE6,True,0.9908564814814815,0.6466685956790124,,0.3441878858024692
9759096F-1119-4E19-A0AD-6F16989C7E1C,True,0.9999961419753086,0.6523148148148148,,0.3476813271604938
9DC38D04-E82E-4F29-AB52-B476535226F2,True,0.9996055555555555,0.7005,,0.2991055555555555
A5CDF89D-02A2-4EC1-89F8-F534FDABDD96,True,1.0,0.7480324074074074,,0.2519675925925926
A76A5AF5-5A93-4CF2-A16E-62353BB70E8A,True,0.9870722222222222,0.7993333333333333,,0.1877388888888889
B09E373F-8A54-44C8-895B-0039390B859F,True,0.9985841049382717,0.7237905092592593,,0.2747935956790124
B9724848-C7E2-45F4-9B3F-A1F38D864495,True,1.0,0.871640625,,0.12835937500000005
BE3CA5A6-A561-4BBD-B7C9-5DF6805400FC,True,1.0,0.9166666666666666,,0.08333333333333337
CA820D43-E5E2-42EF-9798-BE56F776370B,True,0.9835841049382716,0.7019367283950617,,0.2816473765432099
CDA3BBF7-6631-45E8-85BA-EEB416B32A3C,True,1.0,0.8194675925925926,,0.1805324074074074
CF722AA9-2533-4E51-9FEB-9EAC84EE9AAC,True,1.0,0.9164351851851852,,0.08356481481481481
D7D20E2E-FC78-405D-B346-DBD3FD8FC92B,True,1.0,0.6750270061728395,,0.3249729938271605
E65577C1-8D5D-4F70-AF23-B3ADB9D3DBA3,True,0.9998804012345679,0.77078125,,0.22909915123456792
ECECC2AB-D32F-4F90-B74C-E12A1C69BBE2,True,1.0,1.0,,0.0
FDAA70A1-42A3-4E3F-9AE3-3FDA412E03BF,True,1.0,0.75,,0.25
