enrolled_user,target,mechanism,params,reason
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8037518093216252, ""margin"": 0.4}",accept threshold 1.0038 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8067374312457783, ""margin"": 0.4}",accept threshold 1.0067 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8089059449669312, ""margin"": 0.4}",accept threshold 1.0089 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8112303387050083, ""margin"": 0.4}",accept threshold 1.0112 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8130538379887025, ""margin"": 0.4}",accept threshold 1.0131 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.813953488372093, ""margin"": 0.4}",accept threshold 1.0140 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8168798758898151, ""margin"": 0.4}",accept threshold 1.0169 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8178512310809908, ""margin"": 0.4}",accept threshold 1.0179 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.818602869676883, ""margin"": 0.4}",accept threshold 1.0186 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8188748431921258, ""margin"": 0.4}",accept threshold 1.0189 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8192819127220363, ""margin"": 0.4}",accept threshold 1.0193 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8227400737832079, ""margin"": 0.4}",accept threshold 1.0227 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8236256207364959, ""margin"": 0.4}",accept threshold 1.0236 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8252273250246812, ""margin"": 0.4}",accept threshold 1.0252 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8275537971629836, ""margin"": 0.4}",accept threshold 1.0276 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8283671939370096, ""margin"": 0.4}",accept threshold 1.0284 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8286295177369191, ""margin"": 0.4}",accept threshold 1.0286 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8296151248153564, ""margin"": 0.4}",accept threshold 1.0296 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8311418582382589, ""margin"": 0.4}",accept threshold 1.0311 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8322900259057742, ""margin"": 0.4}",accept threshold 1.0323 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8357069158767508, ""margin"": 0.4}",accept threshold 1.0357 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.837345585997521, ""margin"": 0.4}",accept threshold 1.0373 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8390503195540346, ""margin"": 0.4}",accept threshold 1.0391 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8401466370742064, ""margin"": 0.4}",accept threshold 1.0401 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8412146764747362, ""margin"": 0.4}",accept threshold 1.0412 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8422653077888049, ""margin"": 0.4}",accept threshold 1.0423 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8434887432359206, ""margin"": 0.4}",accept threshold 1.0435 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8447268759417751, ""margin"": 0.4}",accept threshold 1.0447 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8482948953005889, ""margin"": 0.4}",accept threshold 1.0483 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8532352526369704, ""margin"": 0.4}",accept threshold 1.0532 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8585111231526363, ""margin"": 0.4}",accept threshold 1.0585 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8608511048924057, ""margin"": 0.4}",accept threshold 1.0609 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8618984701489767, ""margin"": 0.4}",accept threshold 1.0619 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8652899739457686, ""margin"": 0.4}",accept threshold 1.0653 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8660181563105427, ""margin"": 0.4}",accept threshold 1.0660 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.8717048077850932, ""margin"": 0.4}",accept threshold 1.0717 > 1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,0.05,margin_dual_threshold,"{""theta"": 0.876133284837328, ""margin"": 0.4}",accept threshold 1.0761 > 1.0
