uuid,n_frames,cell_missing_frac,raw_acc__all_missing,raw_acc__any_missing,proc_gyro__all_missing,proc_gyro__any_missing,raw_magnet__all_missing,raw_magnet__any_missing,watch_acceleration__all_missing,watch_acceleration__any_missing,watch_heading__all_missing,watch_heading__any_missing,location_quick_features__all_missing,location_quick_features__any_missing,location__all_missing,location__any_missing,audio_naive__all_missing,audio_naive__any_missing,audio_properties__all_missing,audio_properties__any_missing,discrete:time_of_day__all_missing,discrete:time_of_day__any_missing,discrete__all_missing,discrete__any_missing,lf_measurements__all_missing,lf_measurements__any_missing
00EABED2-271D-49D8-B599-1D4A09240601,2287,0.24583588398192682,0.0,0.0,0.0,0.0,0.006121556624398776,0.006121556624398776,0.8574551814604285,0.8574551814604285,0.9623961521644075,0.9623961521644075,0.0,0.11368605159597726,0.0,0.5867949278530826,0.02579798863139484,0.02579798863139484,0.024048972452995192,0.024048972452995192,0.0,0.0,0.0,0.0,0.0,1.0
098A72A5-E3E5-4F54-A152-BBDA0DF7B694,6813,0.21392109855341912,0.0007338910905621606,0.0007338910905621606,0.0007338910905621606,0.0007338910905621606,0.0007338910905621606,0.0007338910905621606,0.7274328489652135,0.7274328489652135,0.8701012769704976,0.8701012769704976,0.0007338910905621606,0.03317187729340966,0.0007338910905621606,0.7104065756641714,0.010861588140319976,0.010861588140319976,0.008219580214296198,0.008219580214296198,0.0,0.0,0.0,0.0,0.0007338910905621606,1.0
0A986513-7828-4D53-AA1F-E02D6DF9561B,3960,0.09481930415263748,0.0,0.0,0.0,0.0,0.0,0.0,0.19797979797979798,0.19797979797979798,0.48434343434343435,0.48434343434343435,0.03308080808080808,0.05202020202020202,0.03308080808080808,0.9308080808080809,0.00101010101010101,0.00101010101010101,0.0007575757575757576,0.0007575757575757576,0.0,0.0,0.0,0.0,0.0,1.0
0BFC35E2-4817-4865-BFA7-764742302A2D,3108,0.09835263835263836,0.005791505791505791,0.005791505791505791,0.005791505791505791,0.005791505791505791,0.06016731016731017,0.06016731016731017,0.12451737451737452,0.12451737451737452,0.4697554697554698,0.4697554697554698,0.07722007722007722,0.07722007722007722,0.015444015444015444,1.0,0.007078507078507079,0.007078507078507079,0.006113256113256113,0.006113256113256113,0.0,0.0,0.0,0.0,0.005791505791505791,1.0
0E6184E1-90C0-48EE-B25A-F1ECB7B9714E,7521,0.1488950937375349,0.0010636883393165802,0.0010636883393165802,0.0011966493817311527,0.0011966493817311527,0.12844036697247707,0.12844036697247707,0.11049062624650978,0.11049062624650978,0.3854540619598458,0.3854540619598458,0.9890971945220051,0.9890971945220051,0.9885653503523467,1.0,0.0014625714665602977,0.0014625714665602977,0.0010636883393165802,0.0010636883393165802,0.0,0.0,0.0,0.0,0.0010636883393165802,1.0
1155FF54-63D3-4AB2-9863-8385D0BD0A13,2685,0.12095510035174839,0.0,0.0,0.0,0.0,0.11024208566108007,0.11024208566108007,0.21787709497206703,0.21787709497206703,0.5720670391061452,0.5720670391061452,0.011918063314711359,0.011918063314711359,0.0011173184357541898,1.0,0.00409683426443203,0.00409683426443203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11B5EC4D-4133-4289-B475-4E737182A406,8845,0.08313246655360844,0.0,0.0,0.0,0.0,0.0,0.0,0.19954776710005653,0.19954776710005653,0.35522894290559637,0.35522894290559637,0.0015828151498021481,0.014132278123233465,0.0015828151498021481,0.5833804409270774,0.001243640474844545,0.001243640474844545,0.0010175240248728094,0.0010175240248728094,0.0,0.0,0.0,0.0,0.0,1.0
136562B6-95B2-483D-88DC-065F28409FD2,6218,0.05703012758657661,0.0,0.0,0.0,0.0,0.0,0.0,0.05853972338372467,0.05853972338372467,0.2933419105821808,0.2933419105821808,0.0,0.020907044065615953,0.0,0.4350273399807012,0.05870054679961403,0.05870054679961403,0.043422322290125444,0.043422322290125444,0.0,0.0,0.0,0.0,0.0,1.0
1538C99F-BA1E-4EFB-A949-6C7C47701B20,6549,0.2670467077246738,0.0,0.0,0.0,0.0,0.00015269506794930523,0.00015269506794930523,0.9760268743319591,0.9760268743319591,0.996488013437166,0.996488013437166,0.0,0.03970071766681936,0.0,0.34814475492441593,0.012062910367995113,0.012062910367995113,0.009009009009009009,0.009009009009009009,0.0,0.0,0.0,0.0,0.0,1.0
1DBB0F6F-1F81-4A50-9DF4-CD62ACFA4842,7375,0.08481145009416195,0.0005423728813559322,0.0005423728813559322,0.0005423728813559322,0.0005423728813559322,0.0018983050847457628,0.033220338983050844,0.14603389830508476,0.14603389830508476,0.4341694915254237,0.4341694915254237,0.1888813559322034,0.1888813559322034,0.0680677966101695,1.0,0.0012203389830508474,0.0012203389830508474,0.0005423728813559322,0.0005423728813559322,0.0,0.0,0.0,0.0,0.0005423728813559322,1.0
